key,date,y_start,y_end,y_text,width,position,old
event_division_kingdom,BCE0995-04-02,0.08,9.26,7.5,0.7,l,
event_exodus,BCE1512-10-01,0.08,34.64,3.5,0.7,l,34.534
event_1914,1916-04-01,24.4,46.38,37.5,0.7,l,32.3
event_destruction_jerusalem2,0072-02-25,14.0,36.4,32.0,0.7,r,22.5
event_destruction_jerusalem1,BCE0606-10-19,22.1,25.3,25.0,0.5,r,26.3
event_destruction_samaria,BCE0738-01-01,46.38,28.3,33.0,0.5,l,36.0
event_jerusalem_rebuilt,BCE0453-01-01,0.08,2.25,2.0,0.5,l,
event_temple_rebuilt,BCE0513-01-01,0.08,1.1,1.0,0.5,l,
leningrad_codex,1009-07-02,0.08,6.1,6.0,0.4,l,
aleppo_codex,0921-07-02,0.08,5.1,5.0,0.4,l,
erasmus,1517-07-02,0.08,2.1,2.0,0.5,l,
luther,1524-04-01,0.08,3.1,3.0,0.5,l,
tyndale,1537-07-02,0.08,4.1,4.0,0.5,l,
69weeks3,0031-04-02,0.08,1.25,1.0,0.5,l,
ransom,0034-10-01,0.08,5.1,5.0,0.5,l,
cornelius,0038-04-02,0.08,5.1,5.0,0.5,r,
columbus,1493-07-02,46.38,45.4,46.0,0.5,l,
declaration_independence,1777-12-28,46.38,43.3,44.0,0.5,l,
watchtower,1880-07-01,0.08,13.6,13.5,0.5,l,
jehovahs_witnesses,1932-07-01,0.08,14.6,14.5,0.4,l,
gilead_school,1944-08-01,0.08,15.6,15.5,0.4,l,
new_world_translation1,1961-12-18,0.08,16.6,16.5,0.4,l,
new_world_translation2,2015-04-02,0.08,17.6,17.5,0.4,l,
timeline_created,2025-04-27,0.08,12.1,12.0,0.4,l,
nicaea1,0326-07-02,0.08,1.1,1.0,0.4,l,
hijrah,0623-07-02,46.38,36.8,37.6,0.4,r,
moses_escape,BCE1553-07-01,43.173,44.1,44.0,0.4,l,
10plagues,BCE1513-07-01,43.173,44.1,44.0,0.4,r,
joseph_sold,BCE1750-07-02,41.4,40.48,41.3,0.4,l,
infliction,BCE1913-07-01,39.4,37.05,39.0,0.4,l,
tischendorf,1845-07-02,0.08,8.1,8.0,0.5,l,
destruction_babylon,2031-07-02,24.15,22.4,23.0,0.5,l,22.1
gog_of_magog,2055-07-02,23.35,21.4,22.0,0.4,l,34.3
sheep_goat,2057-07-02,23.35,20.4,21.0,0.4,l,33.3
annointed,2059-07-02,23.35,19.4,20.0,0.4,l,32.3
great_crowd,2063-07-02,29.3,18.4,19.0,0.4,l,
armageddon,2061-07-02,23.35,36.74,33.0,0.5,l,
tres_zapotes,BCE0032-07-02,17.0,15.4,16.0,0.4,l,
joseph_jacob_reunited,BCE1728-07-02,42.4,40.48,42.3,0.4,l,
